city,ZIP,Tracking ID
Niederrohrdorf,5443,1
Niederurnen,8867,1
Niederuzwil,9244,4
Niederwangen B. Bern,3172,3
Niederweningen,8166,1
Niederönz,3362,1
Nottwil,6207,1
Noville,1845,1
Nussbaumen,5415,1
Nussbaumen AG,5415,1
Nussbaumen Ag,5415,1
Nyon,1260,21
Näfels,8752,3
ONEX,1213,1
Oberbipp,4538,1
Oberbuchsiten,4625,1
Oberburg,3414,1
Oberdiessbach,3672,1
Oberdorf Nw,6370,1
Oberengstringen,8102,7
Oberentfelden,5036,7
Obergerlafingen,4564,1
Oberglatt,8154,2
Oberglatt Zh,8154,4
Oberhasli,8156,1
Oberkulm,5727,1
Oberrieden,8942,6
Oberriet,9463,1
Oberrohrdorf,5452,3
Oberurnen,8868,1
Oberuzwil,9242,1
Oberweningen,8165,1
Oberwil,4104,5
Oberwil B. Zug,6317,2
Oberwil Bl,4104,3
Oberägeri,6315,2
Oberönz,3363,1
Obfelden,8912,1
Oensingen,4702,8
Oetwil An Der Limmat,8955,1
Oftringen,4665,7
Olten,4600,14
Onex,1213,27
Onnens VD,1425,1
Opfikon,8152,7
Oppens,1047,1
Orbe,1350,8
Orpund,2552,1
Orvin,2534,1
Ostermundgen,3072,1
Ostermundigen,3072,16
Othmarsingen,5504,8
Ottenbach,8913,1
Oulens-sur-Lucens,1522,1
Palézieux,1607,1
Pambio-Noranco,6915,1
Pampigny,1142,1
Paradiso,6900,1
Paudex,1094,1
Payerne,1530,12
Pazzallo,6912,1
Penthalaz,1305,2
Perlen,6035,1
Perly,1258,2
Perrefitte,2742,1
Peseux,2034,6
Petit-Lancy,1213,20
Petit-lancy,1213,1
Pfaffnau,6264,1
Pfungen,8422,2
Pfyn,8505,1
Pfäffikon,8808,2
Pfäffikon ZH,8330,9
Pfäffikon Zh,8330,3
Pfäffikon zh,8330,1
Pianezzo,6582,1
Pieterlen,2542,7
Pieterlen Bern,2542,1
Plaffeien,1716,2
Plan Les Ouates,1228,1
Plan-Les-Ouates,1228,7
Pont-De-La-Morge (Sion),1962,2
Porrentruy,2900,1
Porsel,1699,1
Porza,6948,1
Prangins,1197,1
Pratteln,4133,17
Pregassona,6963,4
Presinge,1243,1
Prilly,1008,19
Pringy,1663,2
Préverenges,1028,5
Puidoux,1070,2
Pully,1009,13
Puplinge,1241,2
Péry,2603,2
Rafz,8197,2
Rapperswil Sg,8640,2
Rebstein,9445,1
Recherswil,4565,2
Rechthalten,1718,1
Reconvilier,2732,1
Regensdorf,8105,13
Reichenbach Im Kandertal,3711,1
Reichenburg,8864,2
Reiden,6260,3
Reinach,4153,2
Reinach,5734,2
Reinach Ag,5734,3
Reinach Bl,4153,3
Rekingen Ag,5332,1
Remaufens,1617,1
Remetschwil,5453,2
Renens,1020,23
Renens,1022,1
Renens Vd,1020,57
Renéns vd,1020,1
Rheineck,9424,2
Rheinfelden,4310,14
Riaz,1632,1
Riazzino,6595,2
Richterswil,8805,3
Rickenbach,4613,1
Rickenbach,9532,1
Rickenbach Lu,6221,1
Rickenbach Sulz,8545,1
Rickenbach Zh,8545,2
Rickenbach b. Wil,9532,1
Riddes,1908,1
Ried (Frutigen),3724,2
Riedbkerzers,3216,1
Riehen,4125,5
Ringgenberg Be,3852,1
Rivera,6802,1
Roche,1852,1
Roche Vd,1852,2
Rodersdorf,4118,1
Rolle,1180,2
Romainmôtier,1323,1
Romanel-Sur-Lausanne,1032,5
Romanshorn,8590,5
Romont FR,1680,1
Romont Fr,1680,3
Root-Luzern,6037,1
Ropraz,1088,1
Rorbas,8427,1
Rorschach,9400,11
Rothenburg,6023,2
Rothrist,4852,8
Rotkreuz,6343,3
Rubigen,3113,3
Rudolfstetten,8964,1
Rueun,7156,1
Rupperswil,5102,8
Russikon,8332,1
Ruswil,6017,1
Römerswil LU,6027,1
Rüdtligen,3422,1
Rüegsauschachen,3415,1
Rümlamg,8153,1
Rümlang,8153,7
Rüschlikon,8803,1
Rüti B. Büren,3295,1
Rüti ZH,8630,2
Rüti Zh,8630,1
Rüti bei Büren,3295,1
Rüti zh,8630,1
S-chanf,7525,1
S. Nazzaro,6575,1
SANKT GALLEN,9014,1
Safenwil,5745,3
Saint-Aubin,1566,1
Saint-Cergue,1264,1
Saint-Livres,1176,1
Saint-Légier-La Chiésaz,1806,1
Saint-gingolph,1898,1
Salmsach,8599,1
Sankt Antoni,1713,1
Sargans,7320,2
Sarmenstorf,5614,2
Sarnen,6060,2
Satigny,1242,1
Saubraz,1189,1
Savosa,6942,2
Saxon,1907,8
Schaan,9494,1
Schaffhausen,8200,14
Schaffhausen,8203,1
Schaffhausen,8207,3
Schafisheim,5503,1
Schellenberg,9488,1
Schenkon,6214,1
Scherzingen,8596,1
Schindellegi,8834,2
Schlatt Tg,8252,1
Schlieren,8952,27
Schlosswil,3082,1
Schmerikon,8716,2
Schmitten Fr,3185,1
Schwarzenbach (Huttwil),4953,1
Schwarzenberg,6103,1
Schwarzenburg,3150,1
Schwerzenbach,8603,3
Schwyz,6403,1
Schwyz,6430,3
Schwyz,8852,1
Schärding Vorstadt,4780,1
Schöftland,5040,3
Schönenberg Zh,8824,1
Schönenberg an der Thur,9215,1
Schönengrund,9105,1
Schönenwerd,5012,1
Schötz,6247,2
Schübelbach,8862,3
Schüpfen,3054,2
Schüpfheim,6170,1
Seewen Sz,6423,2
Seewis Dorf,7212,1
Seftigen,3662,1
Selzach,2545,1
Sembrancher,1933,1
Sempach,6204,1
Semsales,1623,1
Sennhof,8482,2
Sennhof (Winterthur),8482,1
Seon,5703,1
Seuzach,8472,4
Sevelen,9475,1
Siebnen,8854,6
Sierre,3960,21
Siggenthal Station,5301,1
Sigriswil,3655,1
Sils Maria,7514,1
Sils i.D,7411,2
Sins,5643,2
Sion,1950,11
Sirnach,8370,5
Sissach,4450,2
Solduno,6600,1
Solothurn,4500,20
Solothurn,4512,2
Sono Gallo,9008,1
Speicher,9042,1
Spiegel,3095,1
Spiez,3700,1
Spreitenbach,8957,20
St Gallen,9000,1
St-Aubin-Sauges,2024,2
St-Blaise,2072,3
St-Livres,1176,1
St-Légier-La Chiésaz,1806,3
St-Sulpice NE,2123,1
St-Sulpice Vd,1025,1
St-george,1188,1
St. Gallen,9000,25
St. Gallen,9008,7
St. Gallen,9011,1
St. Gallen,9012,1
St. Gallen,9014,1
St. Gallen,9015,3
St. Gallen,9016,10
St. Margrethen Sg,9430,1
St. Moritz,7500,1
St. Urban,4915,1
St.Gallen,9000,4
St.Gallen,9008,1
St.Gallen,9012,1
St.Gallen,9014,1
St.Gallen,9016,1
St.gallen,9000,1
St.magrethen,9430,1
Staad Sg,9422,1
Stabio,6855,1
Stadel B. Niederglatt,8174,1
Stadel b. Niederglatt,8174,1
Stans,6370,1
Station siggenthal,5301,1
Staufen,5603,2
Ste-Croix,1450,3
Steckborn,8266,1
Steffisburg,3613,5
Steg VS,3940,1
Stein am Rhein,8260,2
Steinebrunn,9314,1
Steinen,6422,1
Steinhausen,6312,7
Steinmaur,8162,2
Stetten,5608,1
Stetten AG,5608,1
Stettlen,3066,2
Strengelbach,4802,2
Studen,2557,1
Studen Be,2557,2
Stäfa,8712,5
Subingen,4553,2
Sugiez,1786,1
Suhr,5034,7
Suhr AG,5034,1
Sulgen,8583,2
Sumiswald,3454,1
Surpierre,1528,1
Sursee,6210,4
Sutz,2572,1
Svizzera,1950,1
TRIMBACH,4632,1
Tafers,1712,1
Tann,8632,3
Tavannes,2710,6
Telfes,6165,1
Tenero,6598,1
Territet,1820,1
Teufenthal Ag,5723,1
Thalwil,8800,4
Thayngen,8240,3
Therwil,4106,5
Thierrens,1410,2
Thonex,1226,1
Thun,3600,4
Thun,3603,1
Thun,3604,5
Thônex,1226,14
Thörishaus,3174,3
Tramelan,2720,2
Treycovagnes,1436,1
Triengen,6234,1
Trimbach,4632,5
Trimmis,7203,2
Troinex,1256,1
Troistorrents,1872,1
Trubschachen,3555,1
Trun,7166,2
Tuggen,8856,1
Turbenthal,8488,2
Turgi,5300,4
Tägerwilen,8274,2
Tägerwilen-Gottlieben,8274,1
Udligenswil,6044,1
Uerikon,8713,1
Uesslingen,8524,1
Uetendorf,3661,1
Uitikon,8142,1
Uitikon Waldegg,8142,1
Ulisbach,9631,1
Umiken,5222,2
Unterengstringen,8103,7
Unterentfelden,5035,2
Unterkulm,5726,4
Unterseen Interlaken,3800,1
Untersiggenthal,5417,5
Untervaz,7204,2
Unterägeri,6314,3
Urdorf,8902,9
Urtenen-Schönbühl,3322,2
Urtenen-schönbühl,3322,1
Uster,8610,19
Uttwil,8592,1
Utzigen,3068,1
Uznach,8730,8
Uzwil,9240,2
Vaduz,9490,1
Vaglio,6947,1
Vallorbe,1337,1
Vandoeuvres,1253,1
Vaz/Obervaz,7082,1
Vd Cugy,1053,1
Veltheim,5106,1
Verbier,1936,1
Vernier,1214,6
Vernier,1219,8
Versoix,1290,16
Vessy,1234,2
Vevey,1800,34
Veyras,3968,1
Veyrier,1255,3
Veytaux,1820,1
Viganello,6962,4
Villars Sur Glane,1752,1
Villars-Sur-Glâne,1752,6
Villars-sous-Yens,1168,1
Villars-sur-Glâne,1752,3
Villars-sur-Ollon,1884,1
Villars-sûr-Glâne,1752,1
Villeneuve,1844,1
Villeneuve Vd,1844,3
